DATE,BUSLOANS
1988-06-01,589.0011
1988-07-01,593.9114
1988-08-01,594.5325
1988-09-01,595.45
1988-10-01,599.0647
1988-11-01,601.0669
1988-12-01,604.5954
1989-01-01,606.2924
1989-02-01,617.1106
1989-03-01,616.4977
1989-04-01,619.0513
1989-05-01,624.2986
1989-06-01,624.2626
1989-07-01,630.9848
1989-08-01,635.2502
1989-09-01,637.1573
1989-10-01,639.3575
1989-11-01,639.6911
1989-12-01,637.6005
1990-01-01,635.7696
1990-02-01,636.5425
1990-03-01,638.3687
1990-04-01,640.8489
1990-05-01,639.7428
1990-06-01,641.5115
1990-07-01,639.8863
1990-08-01,640.3728
1990-09-01,639.4557
1990-10-01,637.5243
1990-11-01,639.1934
1990-12-01,641.6083
1991-01-01,636.1495
1991-02-01,635.9788
1991-03-01,635.2933
1991-04-01,631.2508
1991-05-01,627.7127
1991-06-01,626.348
1991-07-01,623.2108
1991-08-01,618.3946
1991-09-01,620.5473
1991-10-01,620.9587
1991-11-01,618.4268
1991-12-01,618.4166
1992-01-01,613.6099
1992-02-01,609.769
1992-03-01,607.3783
1992-04-01,604.366
1992-05-01,602.1731
1992-06-01,601.0236
1992-07-01,599.2663
1992-08-01,597.2824
1992-09-01,598.4099
1992-10-01,596.8415
1992-11-01,596.8993
1992-12-01,596.5269
1993-01-01,595.5054
1993-02-01,593.5533
1993-03-01,591.2667
1993-04-01,585.6069
1993-05-01,587.9381
1993-06-01,590.1961
1993-07-01,587.9202
1993-08-01,587.7444
1993-09-01,585.4373
1993-10-01,583.9018
1993-11-01,584.0192
1993-12-01,583.7287
1994-01-01,587.4609
1994-02-01,588.0879
1994-03-01,594.7808
1994-04-01,600.4443
1994-05-01,604.713
1994-06-01,608.9856
1994-07-01,616.5231
1994-08-01,622.1477
1994-09-01,624.9811
1994-10-01,631.5902
1994-11-01,638.3925
1994-12-01,643.849
1995-01-01,654.3622
1995-02-01,666.619
1995-03-01,673.5156
1995-04-01,677.499
1995-05-01,686.116
1995-06-01,690.5805
1995-07-01,698.5758
1995-08-01,702.8718
1995-09-01,706.0736
1995-10-01,706.3182
1995-11-01,712.6311
1995-12-01,715.1309
1996-01-01,721.8223
1996-02-01,724.195
1996-03-01,727.3156
1996-04-01,732.0313
1996-05-01,736.3743
1996-06-01,741.3771
1996-07-01,745.0664
1996-08-01,747.8735
1996-09-01,758.5877
1996-10-01,766.0079
1996-11-01,772.0871
1996-12-01,778.659
1997-01-01,782.3919
1997-02-01,789.2116
1997-03-01,795.5838
1997-04-01,803.8564
1997-05-01,809.2378
1997-06-01,813.3308
1997-07-01,816.5557
1997-08-01,822.5567
1997-09-01,829.998
1997-10-01,833.971
1997-11-01,839.9315
1997-12-01,845.1308
1998-01-01,855.6298
1998-02-01,862.3679
1998-03-01,866.0579
1998-04-01,864.3367
1998-05-01,875.9069
1998-06-01,891.0603
1998-07-01,897.6844
1998-08-01,904.0152
1998-09-01,912.4455
1998-10-01,931.4346
1998-11-01,942.2858
1998-12-01,939.1962
1999-01-01,937.8267
1999-02-01,935.9584
1999-03-01,944.3662
1999-04-01,947.2131
1999-05-01,942.3163
1999-06-01,949.7041
1999-07-01,958.5171
1999-08-01,969.1405
1999-09-01,975.234
1999-10-01,978.3439
1999-11-01,1000.3363
1999-12-01,1001.0541
2000-01-01,1003.6175
2000-02-01,1016.6283
2000-03-01,1026.2002
2000-04-01,1035.179
2000-05-01,1051.9961
2000-06-01,1062.738
2000-07-01,1068.5709
2000-08-01,1071.7117
2000-09-01,1073.0023
2000-10-01,1078.0296
2000-11-01,1080.5175
2000-12-01,1085.2876
2001-01-01,1094.066
2001-02-01,1094.3148
2001-03-01,1091.9588
2001-04-01,1089.1773
2001-05-01,1084.128
2001-06-01,1072.0031
2001-07-01,1063.9682
2001-08-01,1055.8712
2001-09-01,1059.3056
2001-10-01,1044.629
2001-11-01,1034.0693
2001-12-01,1021.8124
2002-01-01,1012.096
2002-02-01,1016.8282
2002-03-01,1011.8078
2002-04-01,1000.2734
2002-05-01,990.9381
2002-06-01,984.0583
2002-07-01,976.6843
2002-08-01,972.482
2002-09-01,966.3343
2002-10-01,962.8639
2002-11-01,960.5759
2002-12-01,957.855
2003-01-01,950.3387
2003-02-01,941.6244
2003-03-01,937.4962
2003-04-01,935.0942
2003-05-01,924.045
2003-06-01,917.3527
2003-07-01,921.5204
2003-08-01,909.7129
2003-09-01,899.9233
2003-10-01,886.963
2003-11-01,881.8412
2003-12-01,883.6446
2004-01-01,876.3778
2004-02-01,874.5538
2004-03-01,869.3598
2004-04-01,864.4874
2004-05-01,862.816
2004-06-01,869.1352
2004-07-01,878.1581
2004-08-01,883.0613
2004-09-01,886.8447
2004-10-01,889.3174
2004-11-01,897.6826
2004-12-01,906.4543
2005-01-01,921.4219
2005-02-01,931.8322
2005-03-01,945.808
2005-04-01,958.5516
2005-05-01,968.6168
2005-06-01,975.0469
2005-07-01,989.6927
2005-08-01,995.9151
2005-09-01,1000.9651
2005-10-01,1014.4941
