DATE,HOUST,3m growth rate,12m growth rate
2000-03-01,1604.0,-22.22034895356615,-6.1988304093567255
2000-04-01,1626.0,-2.422661616215616,4.70057952350289
2000-05-01,1575.0,-32.40369471130295,-2.2346368715083775
2000-06-01,1559.0,-10.758470507081942,0.0
2000-07-01,1463.0,-34.46170491133803,-12.342720191731571
2000-08-01,1541.0,-8.359315937440847,-6.492718446601941
2000-09-01,1507.0,-12.68908320174832,-7.828746177370027
2000-10-01,1549.0,25.66905998538276,-3.66915422885572
2000-11-01,1551.0,2.621093103796168,-5.885922330097082
2000-12-01,1532.0,6.802655738710484,-10.304449648711945
2001-01-01,1600.0,13.83459312121118,-2.200488997555017
2001-02-01,1625.0,20.49423534638597,-6.4478986758779495
2001-03-01,1590.0,16.02549664791031,-0.872817955112215
2001-04-01,1649.0,12.824311499038645,1.4145141451414434
2001-05-01,1605.0,-4.832932798711543,1.904761904761898
2001-06-01,1636.0,12.08427837173225,4.939063502245022
2001-07-01,1670.0,5.192133131950549,14.149008885851
2001-08-01,1567.0,-9.139350092045916,1.6872160934458202
2001-09-01,1562.0,-16.90193312662849,3.649635036496357
2001-10-01,1540.0,-27.68689683735337,-0.5810200129115595
2001-11-01,1602.0,9.238080721591356,3.2882011605415817
2001-12-01,1568.0,1.5453673951361324,2.3498694516971286
2002-01-01,1698.0,47.79776281687833,6.125000000000003
2002-02-01,1829.0,69.90445829573379,12.553846153846159
2002-03-01,1642.0,20.256449590544044,3.2704402515723263
2002-04-01,1592.0,-22.72811442095169,-3.4566403881140073
2002-05-01,1764.0,-13.475419717033288,9.906542056074773
2002-06-01,1717.0,19.560733157649768,4.951100244498785
2002-07-01,1655.0,16.79378654792385,-0.8982035928143728
2002-08-01,1633.0,-26.55699879172362,4.211869814933
2002-09-01,1804.0,21.86106019491254,15.492957746478876
2002-10-01,1648.0,-1.6811393881557055,7.012987012987004
2002-11-01,1753.0,32.79536758504271,9.425717852684134
2002-12-01,1788.0,-3.500752881695246,14.030612244897966
2003-01-01,1853.0,59.835354214279526,9.1283863368669
2003-02-01,1629.0,-25.431282655933217,-10.934937124111531
