DATE,PPIACO,3m growth rate,12m growth rate
1997-02-01,128.5,0.9393281931176612,1.8225039619651273
1997-03-01,127.3,-5.461513434684983,0.7120253164556889
1997-04-01,127.0,-8.070482754675968,-0.31397174254317317
1997-05-01,127.4,-3.3804075352487306,-0.5464480874316835
1997-06-01,127.2,-0.3138483261679425,-0.6249999999999978
1997-07-01,126.9,-0.3145888244147632,-0.8593749999999956
1997-08-01,127.2,-0.6264663581915797,-0.857365549493383
1997-09-01,127.5,0.9467389637797474,-0.5460218408736228
1997-10-01,127.8,2.8672019470529664,-0.15625000000000222
1997-11-01,127.9,2.21949537821744,-0.23400936037439868
1997-12-01,126.8,-2.178059183480874,-1.7815646785437678
1998-01-01,125.4,-7.30277554126133,-3.3153430994602773
1998-02-01,125.0,-8.765756748341769,-2.7237354085603127
1998-03-01,124.7,-6.461844925309379,-2.04241948153967
1998-04-01,124.9,-1.5853828086093036,-1.6535433070866135
1998-05-01,125.1,0.3203842048409289,-1.8053375196232402
1998-06-01,124.8,0.3211559038141631,-1.8867924528301883
1998-07-01,124.9,0.0,-1.5760441292356209
1998-08-01,124.2,-2.846792222044714,-2.358490566037741
1998-09-01,123.8,-3.1668104035479705,-2.9019607843137285
1998-10-01,124.0,-2.85130140698423,-2.9733959311424085
1998-11-01,123.6,-1.9184095319231156,-3.3620015637216616
1998-12-01,122.8,-3.192080123831631,-3.154574132492116
1999-01-01,122.9,-3.501449273309332,-1.9936204146730474
1999-02-01,122.3,-4.141209464244766,-2.1600000000000064
1999-03-01,122.6,-0.6498759965637424,-1.6840417000801966
1999-04-01,123.6,2.2978135487822016,-1.0408326661329181
1999-05-01,124.7,8.083645849297017,-0.3197442046362853
1999-06-01,125.2,8.756553110821951,0.3205128205128194
1999-07-01,125.7,6.971288671126708,0.6405124099279291
1999-08-01,126.9,7.245894153631838,2.1739130434782705
1999-09-01,128.0,9.250281103546952,3.392568659127626
1999-10-01,127.7,6.51787119899625,2.9838709677419306
1999-11-01,128.3,4.486489252142967,3.8025889967637783
1999-12-01,127.8,-0.6235366815328658,4.071661237785018
2000-01-01,128.3,1.8926920034221029,4.393816110659077
2000-02-01,129.8,4.75919303077037,6.132461161079328
2000-03-01,130.8,9.72549801354823,6.688417618270814
2000-04-01,130.7,7.695045683487156,5.744336569579289
2000-05-01,131.6,5.6634501445014696,5.533279871692054
2000-06-01,133.8,9.49479574369063,6.869009584664543
2000-07-01,133.7,9.5023094496989,6.364359586316626
2000-08-01,132.9,4.010304222932293,4.728132387706863
2000-09-01,134.7,2.717852037881996,5.234374999999991
2000-10-01,135.4,5.183841591689076,6.029757243539557
2000-11-01,135.0,6.471935806001561,5.222135619641466
