DATE,TB3MS,3m growth rate,12m growth rate
1984-01-01,8.9,12.59135782800196,13.23155216284988
1984-02-01,9.09,15.941551640139462,12.083847102342782
1984-03-01,9.52,25.192339645785665,14.011976047904184
1984-04-01,9.69,40.51901007504648,18.026796589524952
1984-05-01,9.83,36.75982564420479,20.024420024420042
1984-06-01,9.87,15.536928317896791,12.286689419795227
1984-07-01,10.12,18.967118263404025,11.45374449339207
1984-08-01,10.47,28.69825410361284,12.098501070663815
1984-09-01,10.37,21.85585882301222,15.222222222222204
1984-10-01,9.74,-14.194766497306857,12.731481481481467
1984-11-01,8.61,-54.26740143110218,-1.7123287671232945
1984-12-01,8.06,-63.50569127470309,-10.444444444444434
1985-01-01,7.76,-59.708720653431016,-12.808988764044948
1985-02-01,8.27,-14.884347582053492,-9.020902090209027
1985-03-01,8.52,24.858528364417666,-10.504201680672265
1985-04-01,7.95,10.159417194789988,-17.956656346749224
1985-05-01,7.48,-33.075620499969425,-23.906408952187174
1985-06-01,6.95,-55.7227296410564,-29.58459979736575
1985-07-01,7.08,-37.09799104008994,-30.0395256916996
1985-08-01,7.14,-16.979287616966076,-31.805157593123212
1985-09-01,7.1,8.916625282060163,-31.533269045323042
1985-10-01,7.16,4.596959052856442,-26.488706365503077
1985-11-01,7.24,5.7210377987638505,-15.911730545876878
1985-12-01,7.1,0.0,-11.910669975186117
1986-01-01,7.07,-4.933924469360096,-8.89175257731958
1986-02-01,7.06,-9.579992354831823,-14.631197097944382
1986-03-01,6.56,-27.12443033737123,-23.004694835680752
1986-04-01,6.06,-46.02249062890464,-23.773584905660382
1986-05-01,6.15,-42.41867437468917,-17.78074866310161
1986-06-01,6.21,-19.693436251220486,-10.647482014388487
1986-07-01,5.83,-14.338885134220025,-17.65536723163842
1986-08-01,5.53,-34.62675212678752,-22.549019607843135
1986-09-01,5.21,-50.45675000963297,-26.619718309859152
1986-10-01,5.18,-37.67750664772676,-27.6536312849162
1986-11-01,5.35,-12.397882722671428,-26.104972375690615
1986-12-01,5.53,26.925718934493005,-22.11267605633802
1987-01-01,5.43,20.74809266656519,-23.1966053748232
1987-02-01,5.59,19.187882314045225,-20.82152974504249
1987-03-01,5.59,4.411108445114276,-14.786585365853655
1987-04-01,5.64,16.390383073955018,-6.930693069306926
1987-05-01,5.66,5.103818173422892,-7.967479674796751
1987-06-01,5.67,5.84857216699548,-8.695652173913048
1987-07-01,5.69,3.5935341813913,-2.401372212692965
1987-08-01,6.04,29.68269574935878,9.22242314647377
1987-09-01,6.4,62.325840536837184,22.84069097888677
1987-10-01,6.13,34.707827619009905,18.339768339768337
1987-11-01,5.69,-21.240797284765268,6.355140186915897
1987-12-01,5.77,-33.933187102675454,4.339963833634708
1988-01-01,5.81,-19.30202599850641,6.998158379373853
1988-02-01,5.66,-2.0923426714440363,1.2522361359570633
1988-03-01,5.7,-4.765091237033481,1.9677996422182487
1988-04-01,5.91,7.064475548377636,4.78723404255319
1988-05-01,6.26,49.63445565577158,10.600706713780905
1988-06-01,6.46,64.97975308641975,13.932980599647271
1988-07-01,6.73,68.15521218535712,18.27768014059754
1988-08-01,7.06,61.77874847004645,16.887417218543032
1988-09-01,7.24,57.76991545600006,13.124999999999986
1988-10-01,7.35,42.26206206726544,19.90212071778139
1988-11-01,7.76,45.95805950093585,36.37961335676625
1988-12-01,8.07,54.36181418145176,39.86135181975739
1989-01-01,8.27,60.277545084340886,42.3407917383821
1989-02-01,8.53,45.998784338046114,50.70671378091871
1989-03-01,8.82,42.685618341754285,54.73684210526315
1989-04-01,8.65,19.68573513056577,46.362098138747896
1989-05-01,8.43,-4.60751249477741,34.66453674121406
1989-06-01,8.15,-27.095204778474844,26.160990712074316
1989-07-01,7.88,-31.128357559324748,17.08766716196135
1989-08-01,7.9,-22.87448683944011,11.898016997167149
1989-09-01,7.75,-18.233317974142683,7.044198895027631
1989-10-01,7.64,-11.637384092572024,3.9455782312925125
1989-11-01,7.69,-10.216404345603303,-0.9020618556700999
1989-12-01,7.63,-6.051177387827678,-5.4522924411400275
1990-01-01,7.64,0.0,-7.617896009673519
1990-02-01,7.74,2.62625557856242,-9.261430246189907
