DATE,PCE,3m growth rate,12m growth rate
2005-12-01,8981.1,3.676428510295837,5.6053337096091616
2006-01-01,9071.6,6.090620971536054,6.753592148463694
2006-02-01,9096.0,6.867929388124283,6.27285579091259
2006-03-01,9132.9,6.934213940012546,6.216272794938593
2006-04-01,9191.6,5.397157048846468,5.913532448377601
2006-05-01,9231.8,6.106928300166725,6.460168826975399
2006-06-01,9259.6,5.665714838581581,5.782895789064835
2006-07-01,9343.8,6.789774651862701,5.5343468341277235
2006-08-01,9342.2,4.869957768947275,5.560389148145228
2006-09-01,9375.4,5.096999840744565,5.336838793762078
2006-10-01,9393.6,2.148999246128147,5.091458298372209
2006-11-01,9400.2,2.5065774126113327,5.074780353669706
2006-12-01,9488.3,4.904569827199912,5.647415127322919
2007-01-01,9538.7,6.323314853679429,5.149036553639941
2007-02-01,9566.0,7.244031342258683,5.167106420404566
2007-03-01,9611.7,5.3045648414763,5.242584502184422
2007-04-01,9643.6,4.472020196319448,4.917533400060936
2007-05-01,9685.8,5.10429959340486,4.917784180766471
2007-06-01,9706.8,4.016801991574659,4.829582271372401
2007-07-01,9751.1,4.534028612268215,4.359040219182786
2007-08-01,9798.9,4.75320366671621,4.888570144077398
2007-09-01,9845.1,5.822057490149213,5.009919576764732
2007-10-01,9882.7,5.5086356918051305,5.206736501447806
2007-11-01,9955.9,6.564561113178025,5.911576349439351
2007-12-01,9972.8,5.290190416074703,5.106288797782543
2008-01-01,9996.4,4.682010495859457,4.798347783240886
2008-02-01,9981.7,1.0406075450105856,4.345598996445754
2008-03-01,10035.3,2.530482680278512,4.407128811760641
2008-04-01,10070.3,2.9900173149280063,4.424696171554188
2008-05-01,10132.3,6.173004697016671,4.609841210844734
2008-06-01,10187.1,6.189319416827299,4.948077636296211
2008-07-01,10185.1,4.638511952015612,4.450779912009928
2008-08-01,10175.7,1.7243722349943311,3.845329577809764
2008-09-01,10116.4,-2.7472939902100317,2.7556855694711
2008-10-01,10034.1,-5.799651369620539,1.5319700081961374
2008-11-01,9885.2,-10.93959545785552,-0.710131680711934
2008-12-01,9801.5,-11.88168065966314,-1.7176720680250224
2009-01-01,9847.2,-7.244998855114026,-1.492537313432829
2009-02-01,9824.5,-2.433666222024866,-1.574882034122449
2009-03-01,9773.2,-1.1499329413223958,-2.611780415134557
2009-04-01,9772.5,-3.0000117400253545,-2.957210808019617
2009-05-01,9791.6,-1.332794820911254,-3.362513940566292
2009-06-01,9852.4,3.281133812933512,-3.2855277753237044
2009-07-01,9886.3,4.739964793670959,-2.933697263649848
2009-08-01,10004.1,8.967614217078545,-1.6863704708275584
2009-09-01,9927.8,3.096503348172241,-1.8642995532007434
2009-10-01,9976.7,3.7080605576409456,-0.5720493118466008
2009-11-01,9985.7,-0.7336711559570608,1.0166713875288336
2009-12-01,10052.6,5.123915865203377,2.5618527776360756
2010-01-01,10056.1,3.221622444122474,2.1214152246323836
2010-02-01,10093.4,4.384467674045056,2.7370349636113733
2010-03-01,10156.0,4.178274687720718,3.9168337903654926
2010-04-01,10182.3,5.115127198925595,4.193399846508061
2010-05-01,10210.8,4.734349658342141,4.281220638097949
2010-06-01,10231.3,2.998881306983203,3.845763468799479
2010-07-01,10268.1,3.413397011643049,3.861909915742001
2010-08-01,10307.1,3.826180957205039,3.0287582091342635
2010-09-01,10327.1,3.798302965672584,4.022039122464194
2010-10-01,10386.4,4.688702698648273,4.106568304148661
2010-11-01,10433.6,5.000356354929814,4.485414142223365
2010-12-01,10471.0,5.691268097507618,4.162107315520358
2011-01-01,10514.3,5.017404674881987,4.556438380684358
2011-02-01,10540.6,4.165667172434162,4.430618027622013
2011-03-01,10619.7,5.8026036273629344,4.565773926742822
2011-04-01,10652.1,5.346347315963596,4.613888807047539
2011-05-01,10672.2,5.088329992684226,4.51874485838526
2011-06-01,10694.8,2.8588527534244346,4.530216101570672
2011-07-01,10731.6,3.01891409443078,4.513980191077227
2011-08-01,10750.3,2.9595211171565383,4.29994857913476
2011-09-01,10783.2,3.3474991151771327,4.416535135710897
2011-10-01,10802.9,2.6841746192570293,4.01005160594623
2011-11-01,10806.8,2.11889828183518,3.5769053826100183
2011-12-01,10817.8,1.2896686619430886,3.3120045840893786
2012-01-01,10896.8,3.5224391072733674,3.6379026658931224
2012-02-01,10987.2,6.846343362278939,4.236950458228184
2012-03-01,10993.9,6.67222101695959,3.5236400274960555
2012-04-01,11018.5,4.542765467699406,3.439697336675396
2012-05-01,11006.8,0.7154692326939882,3.1352485897940374
2012-06-01,10989.8,-0.1490902054984033,2.7583498522646632
2012-07-01,11016.8,-0.0617001084079804,2.6575720302657535
2012-08-01,11056.0,1.800009720821305,2.8436415727933317
