DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1994-05-01,23.0,243.05560989163732,60.83916083916083
1994-06-01,19.6,-67.20367140283038,206.25
1994-07-01,17.0,-64.34627074653372,400.0
1994-08-01,10.4,-95.81955982147004,246.66666666666669
1994-09-01,13.8,-75.42508297337584,35.29411764705883
1994-10-01,20.3,103.32391626058114,109.27835051546393
1994-11-01,16.5,533.5814006438521,-24.311926605504585
1994-12-01,14.0,5.924347428153687,-55.12820512820513
1995-01-01,8.3,-97.20534489736968,-65.56016597510373
1995-02-01,10.9,-80.955471941217,-35.50295857988165
1995-03-01,6.7,-94.75449786547271,-74.13127413127413
1995-04-01,-7.6,-29.70215697264137,-134.54545454545453
1995-05-01,-12.9,96.17915042120732,-156.08695652173913
1995-06-01,-20.7,9011.33827740898,-205.61224489795916
1995-07-01,-17.1,2462.8906250000023,-200.58823529411765
1995-08-01,-6.7,-92.72320115722036,-164.4230769230769
1995-09-01,30.2,353.05026628385104,118.84057971014492
1995-10-01,16.6,-11.192854562122257,-18.226600985221676
1995-11-01,7.1,26.105545195227585,-56.96969696969697
1995-12-01,13.7,-95.76498944764968,-2.1428571428571463
1996-01-01,-16.3,-7.035301433230224,-296.3855421686747
1996-02-01,1.3,-99.88760680570482,-88.07339449541286
1996-03-01,-1.4,-99.98909489443402,-120.89552238805969
1996-04-01,16.7,10.183221752555504,-319.7368421052631
1996-05-01,24.2,12008380.43135744,-287.5968992248062
1996-06-01,23.2,7541088.504789674,-212.07729468599035
1996-07-01,26.1,496.61771542372753,-252.6315789473684
1996-08-01,16.2,-79.91838695967068,-341.7910447761194
1996-09-01,18.0,-63.76418106806205,-40.39735099337748
1996-10-01,10.4,-97.47900881073583,-37.34939759036144
1996-11-01,11.4,-75.47780468575063,60.56338028169015
1996-12-01,11.4,-83.91098765432099,-16.788321167883204
1997-01-01,19.2,1061.6399985994883,-217.79141104294476
1997-02-01,18.0,521.5421919721304,1284.6153846153845
1997-03-01,16.0,288.02573057732747,-1242.857142857143
1997-04-01,10.0,-92.6414018795814,-40.11976047904191
1997-05-01,5.6,-99.06316720012194,-76.85950413223141
1997-06-01,16.7,18.68229995727537,-28.01724137931034
1997-07-01,24.4,3444.535296,-6.513409961685834
1997-08-01,17.1,8594.254194622687,5.555555555555558
1997-09-01,21.1,154.83785246652002,17.22222222222223
1997-10-01,17.1,-75.87734330181712,64.42307692307693
1997-11-01,17.4,7.204385448618211,52.63157894736841
1997-12-01,16.2,-65.25196606454153,42.10526315789473
