DATE,IC4WSA,3m growth rate,12m growth rate
2017-09-02,253000,20.451869334279472,-3.2504780114722798
2017-09-09,262500,34.50509435944118,1.5473887814313247
2017-09-16,267250,53.114834813976806,4.803921568627456
2017-09-23,273250,65.26181274341558,8.648111332007957
2017-09-30,262250,36.777611556678025,5.533199195171035
2017-10-07,255000,23.281882621182337,2.822580645161299
2017-10-14,247750,6.290719597447203,-1.3930348258706426
2017-10-21,241000,-2.8525923702675704,-4.930966469428011
2017-10-28,236250,-11.023386350535269,-8.607350096711796
2017-11-04,234750,-11.45563253186934,-9.18762088974855
2017-11-11,239000,-2.876031237337995,-4.685942173479562
2017-11-18,239000,-1.2454440756344498,-3.726082578046319
2017-11-25,238500,-21.028306953331764,-2.9501525940996975
2017-12-02,236250,-34.39,-3.669724770642202
2017-12-09,231000,-44.18164106453651,-7.692307692307687
2017-12-16,232000,-48.03496105812349,-8.571428571428575
2017-12-23,234500,-36.069308679670975,-7.767944936086524
2017-12-30,237250,-25.06854552427562,-6.317867719644621
2018-01-06,243000,-7.451274636986982,-3.1872509960159334
2018-01-13,240250,-1.2390144739708564,-2.7327935222672073
2018-01-20,237750,2.563972535702952,-3.4517766497461966
2018-01-27,234250,-0.8492520945583504,-4.96957403651116
2018-02-03,228000,-17.1776051453702,-6.938775510204087
2018-02-10,227750,-17.540264239054228,-6.945863125638407
2018-02-17,224500,-21.492373463244864,-7.70811921891058
2018-02-24,221500,-22.73057979420071,-7.612095933263818
2018-03-03,222000,-14.697064188557684,-8.264462809917351
2018-03-10,221000,-17.65880696280677,-8.771929824561408
2018-03-17,222000,-19.676891074840764,-9.016393442622949
2018-03-24,223250,-21.59550067537398,-10.78921078921079
2018-03-31,225500,-25.84147375671077,-9.072580645161288
2018-04-07,228500,-18.17401682283744,-7.302231237322521
2018-04-14,231250,-10.495501565453813,-4.933196300102772
2018-04-21,228250,-9.85850707527609,-5.779153766769863
2018-04-28,222500,-9.30555797337088,-8.530318602261044
2018-05-05,216250,-18.718647420815326,-11.008230452674894
2018-05-12,213500,-18.20511689417849,-11.685625646328857
2018-05-19,219000,-4.438812673410819,-7.692307692307687
2018-05-26,221250,-1.3445186976123955,-7.716371220020857
2018-06-02,224000,5.541431064526714,-7.246376811594201
2018-06-09,222500,0.903949057544895,-7.867494824016563
2018-06-16,220000,-5.697142409105249,-9.743589743589743
2018-06-23,219750,-9.816029874700904,-8.53277835587929
2018-06-30,221750,-11.302843668053653,-7.987551867219922
2018-07-07,224500,-11.174345602487731,-7.42268041237113
2018-07-14,222500,-9.702252587574666,-8.057851239669422
2018-07-21,222500,0.0,-8.811475409836067
2018-07-28,219750,6.632863157497559,-9.47476828012358
2018-08-04,216750,6.229443692374415,-10.894141829393632
2018-08-11,216750,-4.046689004765314,-10.433884297520656
2018-08-18,215500,-9.997208311424266,-10.488058151609557
2018-08-25,214500,-15.915274111145196,-10.531803962460895
2018-09-01,212500,-16.80146553898194,-16.00790513833992
2018-09-08,212000,-13.771124923160992,-19.238095238095244
2018-09-15,211250,-14.597352227469818,-20.95416276894294
2018-09-22,210750,-18.41396653878712,-22.87282708142726
2018-09-29,212500,-19.72684062515092,-18.97044804575786
2018-10-06,213000,-16.01565248267113,-16.470588235294116
2018-10-13,213000,-16.01565248267113,-14.026236125126134
2018-10-20,214750,-8.795313466894017,-10.89211618257261
2018-10-27,214750,-3.640116686466699,-9.100529100529098
2018-11-03,215750,-1.832712056513164,-8.0937167199148
2018-11-10,217000,2.813427477291053,-9.205020920502093
2018-11-17,217250,5.22767005944822,-9.100418410041843
2018-11-24,220750,16.45740577263204,-7.442348008385746
2018-12-01,223000,22.426661998251408,-5.6084656084656075
2018-12-08,219500,16.56045332753875,-4.978354978354982
2018-12-15,218000,14.486859202373914,-6.034482758620685
2018-12-22,215500,5.767773074747695,-8.102345415778256
2018-12-29,215750,5.2651960859321445,-9.062170706006324
2019-01-05,219500,12.776778466394267,-9.67078189300411
2019-01-12,219750,9.643488510539957,-8.53277835587929
2019-01-19,217500,5.221467654878387,-8.517350157728709
2019-01-26,220000,8.115386632638044,-6.083244397011745
2019-02-02,223750,13.03507857950974,-1.8640350877192957
