DATE,DTWEXM,3m growth rate,12m growth rate
1983-01-12,114.7869,-14.468648197117428,8.164934542380898
1983-01-13,114.2078,-15.406721845368276,7.636484956896528
1983-01-14,114.6477,-13.053287156403291,7.995195930670684
1983-01-17,114.5113,-10.746867143284057,8.52896631858686
1983-01-18,115.5777,-9.076453951222453,9.761545467236598
1983-01-19,116.241,-6.9711775158688205,10.585544660516533
1983-01-20,116.4046,-7.798262299091229,10.121090571963753
1983-01-21,116.9587,-4.976398892130495,11.000419482991951
1983-01-24,118.159,-4.706864545206779,11.490212914518105
1983-01-25,117.0699,-9.293573546314116,10.59657204182023
1983-01-26,117.0423,-8.62000750323867,9.677869757277824
1983-01-27,117.1626,-8.348208825624914,9.615670688750221
1983-01-28,117.3302,-7.57930893537292,9.518466800083637
1983-01-31,118.396,-3.467230400758703,10.195370707331119
1983-02-01,118.2814,-4.294752429396231,10.046612022366318
1983-02-02,119.2782,-1.193251937108275,11.0780827007803
