DATE,AHETPI,3m growth rate,12m growth rate
1994-05-01,11.29,1.429825403087559,2.5431425976385036
1994-06-01,11.31,2.1504607623901606,2.538531278331835
1994-07-01,11.34,2.5077153014901654,2.624434389140262
1994-08-01,11.36,2.503231664318717,2.619692863595291
1994-09-01,11.39,2.8595160412967946,2.6126126126126303
1994-10-01,11.43,3.212596428696801,2.6954177897573928
1994-11-01,11.45,3.2068733251013226,2.690582959641241
1994-12-01,11.47,2.8392203028977825,2.5939177101967914
1995-01-01,11.48,1.761296301938775,2.5000000000000133
1995-02-01,11.53,2.824186554074992,2.488888888888874
1995-03-01,11.55,2.819210619633239,2.666666666666684
1995-04-01,11.56,2.816729221558667,2.5732031943212164
1995-05-01,11.59,2.097830714580096,2.657218777679371
1995-06-01,11.63,2.7994809865317998,2.8293545534924913
1995-07-01,11.67,3.860901486782442,2.910052910052907
1995-08-01,11.69,3.496175312204741,2.9049295774647987
1995-09-01,11.73,3.4839957720640635,2.9850746268656803
1995-10-01,11.75,2.7703989043710964,2.7996500437445393
1995-11-01,11.78,3.115301786074265,2.882096069869
1995-12-01,11.81,2.756083266465948,2.96425457715781
1996-01-01,11.86,3.797594688524897,3.3101045296167086
1996-02-01,11.87,3.0912282702708405,2.948829141370335
1996-03-01,11.89,2.7372243029685883,2.9437229437229373
1996-04-01,11.95,3.070139780655312,3.3737024221453193
1996-05-01,11.97,3.412663936347937,3.2786885245901676
1996-06-01,12.03,4.793679832192699,3.4393809114359186
1996-07-01,12.05,3.3895312955315227,3.2562125107112427
1996-08-01,12.09,4.0707302165439385,3.4217279726261873
1996-09-01,12.13,3.3667101248426867,3.4100596760443302
1996-10-01,12.15,3.3610527634860388,3.404255319148941
1996-11-01,12.2,3.689342179033628,3.5653650254668934
1996-12-01,12.24,3.677010938009895,3.6409822184589213
1997-01-01,12.29,4.689329862858926,3.6256323777402955
1997-02-01,12.31,3.655628444716763,3.7068239258635227
1997-03-01,12.36,3.979616607104486,3.952901597981495
1997-04-01,12.39,3.2946180154792115,3.682008368200851
1997-05-01,12.43,3.956656442330564,3.842940685045937
1997-06-01,12.46,3.275733051062524,3.574397339983393
1997-07-01,12.5,3.598824232818054,3.734439834024883
1997-08-01,12.57,4.5819165031874665,3.970223325062028
1997-09-01,12.6,4.570699028745162,3.8746908491343657
1997-10-01,12.66,5.219145545154524,4.197530864197518
1997-11-01,12.71,4.530033955562307,4.180327868852474
1997-12-01,12.75,4.847615657185012,4.166666666666674
1998-01-01,12.79,4.171125197354608,4.068348250610243
1998-02-01,12.83,3.830375177659273,4.224207961007309
1998-03-01,12.87,3.818188938542355,4.126213592233019
1998-04-01,12.92,4.128083869549903,4.277643260694108
1998-05-01,12.97,4.4367332681938265,4.344328238133555
1998-06-01,12.99,3.782091016453526,4.25361155698234
1998-07-01,13.01,2.8156277794536777,4.079999999999995
1998-08-01,13.07,3.1198911659999773,3.9777247414478856
1998-09-01,13.11,3.74666918562252,4.047619047619055
1998-10-01,13.15,4.374359892477342,3.870458135860977
1998-11-01,13.17,3.095746948934908,3.6191974822973982
1998-12-01,13.21,3.0861935662802376,3.607843137254907
1999-01-01,13.27,3.700459354061092,3.7529319781079096
1999-02-01,13.3,4.007214182828478,3.6632891660171474
1999-03-01,13.33,3.683423156390764,3.5742035742035716
1999-04-01,13.38,3.3572063593497514,3.5603715170278605
1999-05-01,13.42,3.658160931370924,3.4695451040863468
1999-06-01,13.47,4.2676979641566914,3.6951501154734334
1999-07-01,13.51,3.943405701437808,3.8431975403535823
1999-08-01,13.53,3.319221002898942,3.519510328997688
1999-09-01,13.61,4.22265154388195,3.8138825324180115
1999-10-01,13.64,3.904913511410024,3.726235741444861
1999-11-01,13.66,3.899058225856744,3.7205770690964313
1999-12-01,13.7,2.6714670990768408,3.709311127933379
2000-01-01,13.75,3.2650385217282585,3.6171816126601364
2000-02-01,13.8,4.163016476644188,3.759398496240607
2000-03-01,13.85,4.452015610169235,3.9009752438109446
2000-04-01,13.89,4.135352217635013,3.811659192825112
2000-05-01,13.94,4.120141451135262,3.874813710879277
2000-06-01,13.99,4.105042158067795,3.8604305864884836
2000-07-01,14.02,3.796586553378401,3.774981495188756
2000-08-01,14.06,3.488046179875992,3.9172209903917343
2000-09-01,14.12,3.76907104699582,3.7472446730345332
2000-10-01,14.17,4.3487729398559605,3.885630498533721
2000-11-01,14.23,4.924840476915393,4.172767203513916
2000-12-01,14.28,4.61020252701716,4.233576642335768
2001-01-01,14.29,3.4307119685572207,3.9272727272727126
2001-02-01,14.36,3.704633090338661,4.057971014492745
2001-03-01,14.42,3.979616607104486,4.115523465703963
2001-04-01,14.45,4.554438302354069,4.03167746580273
2001-05-01,14.5,3.957122368872645,4.017216642754673
2001-06-01,14.54,3.370492290664817,3.9313795568262977
2001-07-01,14.55,2.797034180879332,3.780313837375182
2001-08-01,14.59,2.5059697576719886,3.769559032716918
2001-09-01,14.63,2.499011814180885,3.6118980169971726
2001-10-01,14.66,3.058521558430627,3.4580098800282233
2001-11-01,14.71,3.330736133440171,3.3731553056921992
2001-12-01,14.75,3.321517655444839,3.2913165266106548
2002-01-01,14.76,2.7565580705146253,3.2890132960112117
2002-02-01,14.78,1.9170971346067045,2.924791086350975
2002-03-01,14.82,1.9118612478290944,2.77392510402219
2002-04-01,14.84,2.185711648985511,2.69896193771626
2002-05-01,14.88,2.733950486141623,2.6206896551724146
